ks	count
KP_20300158902475	1
KP_20300160331902	1
KP_20300161558052	1
KP_20300155608856	1
KP_20300164070936	1
KP_20300155618975	1
KP_20300161736593	1
KP_20300163483386	1
KP_20300161130272	1
KP_20300162923924	1
KP_20300163429996	1
KP_20300155759149	1
KP_20300156183826	2
KP_20300164655597	2
KP_20300158494612	2
KP_20300160862630	2
KP_20300159630378	2
KP_20300156338142	2
KP_20300157198978	2
KP_20300160312041	2
KP_20300164290134	2
KP_20300154171275	2
KP_20300161961398	2
KP_20300162061520	2
KP_20300159145248	2
KP_20300159209614	2
KP_20300156401969	2
KP_20300160968670	2
KP_20300154227090	2
KP_20300154139766	2
KP_20300163222098	2
KP_20300159414808	2
KP_20300154614645	2
KP_20300160837172	2
KP_20300155019927	2
KP_20300161721939	2
KP_20300156755786	2
KP_20300162276656	2
KP_20300154140053	2
KP_20300156210132	2
KP_20300166013017	2
KP_20300156124121	2
KP_20300164622615	2
KP_20300156747712	2
KP_20300154233248	2
KP_20300165066350	2
KP_20300155747419	2
KP_20300163214250	2
KP_20300161625036	2
KP_20300163266287	2
KP_20300159861648	2
KP_20300162752499	2
KP_20300154146135	2
KP_20300160440612	2
KP_20300157132210	2
KP_20300161562821	2
KP_20300164166566	2
KP_20300159656534	2
KP_20300164920882	2
KP_20300164231243	2
KP_20300160155755	2
KP_20300165126436	2
KP_20300161275722	2
KP_20300165097100	2
KP_20300164583262	2
KP_20300156269214	2
KP_20300162662348	2
KP_20300163834119	2
KP_20300157121584	2
KP_20300159622288	2
KP_20300157167063	2
KP_20300161221562	2
KP_20300155369691	2
KP_20300156682040	2
KP_20300165155580	2
KP_20300163736943	2
KP_20300160380690	2
KP_20300161399532	2
KP_20300157725733	2
KP_20300160711962	2
KP_20300157141636	2
KP_20300159869572	2
KP_20300161807123	2
KP_20300157504250	2
KP_20300161554427	2
KP_20300158352709	2
KP_20300165931530	2
KP_20300165663833	2
KP_20300157455483	2
KP_20300158375390	2
KP_20300156864576	2
KP_20300160842550	2
KP_20300157537669	2
KP_20300155553803	2
KP_20300160277492	2
KP_20300159119650	2
KP_20300068528008	2
KP_20300164639345	2
KP_20300155156026	2
KP_20300155410451	2
KP_20300156696492	2
KP_20300160481371	2
KP_20300166024939	2
KP_20300159954727	2
KP_20300157547680	2
KP_20300156593562	2
KP_20300157470181	2
KP_20300156610725	2
KP_20300163782968	2
KP_20300162214542	2
KP_20300162268574	2
KP_20300158039871	2
KP_20300155843363	2
KP_20300158495699	2
KP_20300154094310	2
KP_20300165551643	2
KP_20300156777974	2
KP_20300162936301	2
KP_20300158676351	2
KP_20300164394997	2
KP_20300159524202	2
KP_20300160600071	2
KP_20300165734586	2
KP_20300163720669	2
KP_20300154134181	2
KP_20300163884504	2
KP_20300155189118	2
KP_20300154332731	2
KP_20300155883113	2
KP_20300162879456	2
KP_20300164992050	2
KP_20300160172826	2
KP_20300163544789	2
KP_20300161680607	2
KP_20300159847984	2
KP_20300158684656	2
KP_20300160451514	2
KP_20300156391585	2
KP_20300156051107	2
KP_20300155644042	2
KP_20300159722727	2
KP_20300161950486	2
KP_20300164128325	2
KP_20300162701003	2
KP_20300158847260	2
KP_20300164040198	2
KP_20300160701466	2
KP_20300162517738	2
KP_20300160482879	2
KP_20300165150665	2
KP_20300158409715	2
KP_20300160563222	2
KP_20300158820659	2
KP_20300161804972	2
KP_20300160376873	2
KP_20300157961970	2
KP_20300155658156	2
KP_20300161190526	2
KP_20300161344395	2
KP_20300163708412	2
KP_20300160358437	2
KP_20300155499908	2
KP_20300160588706	2
KP_20300160978338	2
KP_20300154158655	2
KP_20300155500087	2
KP_20300157595544	2
KP_20300156616551	2
KP_20300155497806	2
KP_20300162087652	2
KP_20300158860474	2
KP_20300162373870	2
KP_20300160351980	2
KP_20300158841228	2
KP_20300163711880	2
KP_20300162194013	2
KP_20300160131848	2
KP_20300160662841	2
KP_20300163595608	2
KP_20300157056097	2
KP_20300164842274	2
KP_20300158000593	2
KP_20300161495833	2
KP_20300159219586	2
KP_20300155397912	2
KP_20300156587039	2
KP_20300159685406	2
KP_20300157646936	2
KP_20300156301477	2
KP_20300162888669	2
KP_20300160763567	2
KP_20300155107929	2
KP_20300160731483	2
KP_20300155332252	2
KP_20300162154663	2
KP_20300160313704	2
KP_20300160780676	2
KP_20300161973934	2
KP_20300159408874	2
KP_20300160757225	2
KP_20300159050607	2
KP_20300161195991	2
KP_20300155261258	2
KP_20300154775554	2
KP_20300162533957	2
KP_20300163636551	2
KP_20300164460155	2
KP_20300160619810	2
KP_20300160125129	2
KP_20300159838857	2
KP_20300159410437	2
KP_20300164750975	2
KP_20300156133144	2
KP_20300154655153	2
KP_20300158197574	2
KP_20300155956228	2
KP_20300160523676	2
KP_20300156614807	2
KP_20300158653997	2
KP_20300158331079	2
KP_20300156702285	2
KP_20300164981677	2
KP_20300158929648	2
KP_20300156674194	2
KP_20300159713739	2
KP_20300159228970	2
KP_20300164379397	2
KP_20300162378695	2
KP_20300158634466	2
KP_20300158226861	2
KP_20300163705741	2
KP_20300157821274	2
KP_20300158893295	2
KP_20300164917407	2
KP_20300162911828	2
KP_20300155333033	2
KP_20300164050693	2
KP_20300154650605	2
KP_20300161883340	2
KP_20300162463614	2
KP_20300164099796	2
KP_20300162390264	2
KP_20300160279459	2
KP_20300159185366	2
KP_20300157543297	2
KP_20300155248215	2
KP_20300161090078	2
KP_20300155951335	2
KP_20300157185947	2
KP_20300154467776	2
KP_20300163870127	2
KP_20300156724251	2
KP_20300158511931	2
KP_20300158873791	2
KP_20300161907708	2
KP_20300161834977	2
KP_20300161603668	2
KP_20300068581733	2
KP_20300162482332	2
KP_20300156009400	2
KP_20300157872926	2
KP_20300155119501	2
KP_20300157272721	2
KP_20300161476334	2
KP_20300156330474	2
KP_20300155446175	2
KP_20300164501464	2
KP_20300159026354	2
KP_20300164928755	2
KP_20300164763584	2
KP_20300159801095	2
KP_20300157378231	2
KP_20300161766761	2
KP_20300157888079	2
KP_20300158846444	2
KP_20300162113761	2
KP_20300154316798	2
KP_20300155314550	2
KP_20300155853272	2
KP_20300160960658	2
KP_20300161408043	2
KP_20300157748848	2
KP_20300158643196	2
KP_20300155315492	2
KP_20300160232027	2
KP_20300159994877	2
KP_20300160714775	2
KP_20300165313622	2
KP_20300161948186	2
KP_20300158412132	2
KP_20300165192649	2
KP_20300157412679	2
KP_20300159991302	2
KP_20300155180833	2
KP_20300155459319	2
KP_20300159785119	2
KP_20300157576891	2
KP_20300161358474	2
KP_20300160779089	2
KP_20300159055522	2
KP_20300162924332	2
KP_20300154522040	2
KP_20300162062888	2
KP_20300160712817	2
KP_20300157424338	2
KP_20300156375279	2
KP_20300156348718	2
KP_20300157600362	2
KP_20300155660504	2
KP_20300161472619	2
KP_20300155398504	2
KP_20300161007479	2
KP_20300165724880	2
KP_20300158439276	2
KP_20300156477143	2
KP_20300160311994	2
KP_20300155820011	2
KP_20300157063773	2
KP_20300158073719	2
KP_20300160951312	2
KP_20300156619004	2
KP_20300155515189	2
KP_20300154132285	2
KP_20300159669341	2
KP_20300155898087	2
KP_20300164515820	2
KP_20300157384960	2
KP_20300160019578	2
KP_20300159095902	2
